MIP_ID	MIP_pool	MIP_production_date	MIP_producer	MIP_plate	MIP_position	MIP_instance
0096	02	15-09-2014	Biosearch	MIP02	H05	01
0097	02	15-09-2014	Biosearch	MIP02	A06	01
0098	02	15-09-2014	Biosearch	MIP02	B06	01
0099	02	15-09-2014	Biosearch	MIP02	C06	01
0100	02	15-09-2014	Biosearch	MIP02	D06	01
0101	02	15-09-2014	Biosearch	MIP02	E06	01
0102	02	15-09-2014	Biosearch	MIP02	F06	01
0103	02	15-09-2014	Biosearch	MIP02	G06	01
0104	02	15-09-2014	Biosearch	MIP02	H06	01
0105	02	15-09-2014	Biosearch	MIP02	A07	01
0106	02	15-09-2014	Biosearch	MIP02	B07	01
0107	02	15-09-2014	Biosearch	MIP02	C07	01
0108	02	15-09-2014	Biosearch	MIP02	D07	01
0109	02	15-09-2014	Biosearch	MIP02	E07	01
0110	02	15-09-2014	Biosearch	MIP02	F07	01
0111	02	15-09-2014	Biosearch	MIP02	G07	01
0112	02	15-09-2014	Biosearch	MIP02	H07	01
0113	02	15-09-2014	Biosearch	MIP02	A08	01
0114	02	15-09-2014	Biosearch	MIP02	B08	01
0115	02	15-09-2014	Biosearch	MIP02	C08	01
0116	02	15-09-2014	Biosearch	MIP02	D08	01
0117	02	15-09-2014	Biosearch	MIP02	E08	01
0118	02	15-09-2014	Biosearch	MIP02	F08	01
0119	02	15-09-2014	Biosearch	MIP02	G08	01
0120	02	15-09-2014	Biosearch	MIP02	H08	01
0121	02	15-09-2014	Biosearch	MIP02	A09	01
0122	02	15-09-2014	Biosearch	MIP02	B09	01
0123	02	15-09-2014	Biosearch	MIP02	C09	01
0124	02	15-09-2014	Biosearch	MIP02	D09	01
0125	02	15-09-2014	Biosearch	MIP02	E09	01
0126	02	15-09-2014	Biosearch	MIP02	F09	01
0127	02	15-09-2014	Biosearch	MIP02	G09	01
0128	02	15-09-2014	Biosearch	MIP02	H09	01
0129	02	15-09-2014	Biosearch	MIP02	A10	01
0130	02	15-09-2014	Biosearch	MIP02	B10	01
0131	02	15-09-2014	Biosearch	MIP02	C10	01
0132	02	15-09-2014	Biosearch	MIP02	D10	01
0133	02	15-09-2014	Biosearch	MIP02	E10	01
0134	02	15-09-2014	Biosearch	MIP02	F10	01
0135	02	15-09-2014	Biosearch	MIP02	G10	01
0136	02	15-09-2014	Biosearch	MIP02	H10	01
0137	02	15-09-2014	Biosearch	MIP02	A11	01
0138	02	15-09-2014	Biosearch	MIP02	B11	01
0139	02	15-09-2014	Biosearch	MIP02	C11	01
0140	02	15-09-2014	Biosearch	MIP02	D11	01
0141	02	15-09-2014	Biosearch	MIP02	E11	01
0142	02	15-09-2014	Biosearch	MIP02	F11	01
0143	02	15-09-2014	Biosearch	MIP02	G11	01
0144	02	15-09-2014	Biosearch	MIP02	H11	01
0145	02	15-09-2014	Biosearch	MIP02	A12	01
0146	02	15-09-2014	Biosearch	MIP02	B12	01
0147	02	15-09-2014	Biosearch	MIP02	C12	01
0148	02	15-09-2014	Biosearch	MIP02	D12	01
0149	02	15-09-2014	Biosearch	MIP02	E12	01
0150	02	15-09-2014	Biosearch	MIP02	F12	01
0151	02	15-09-2014	Biosearch	MIP02	G12	01
0152	02	15-09-2014	Biosearch	MIP02	H12	01
0153	02	15-09-2014	Biosearch	MIP03	A01	01
0154	02	15-09-2014	Biosearch	MIP03	B01	01
0155	02	15-09-2014	Biosearch	MIP03	C01	01
0156	02	15-09-2014	Biosearch	MIP03	D01	01
0157	02	15-09-2014	Biosearch	MIP03	E01	01
0158	02	15-09-2014	Biosearch	MIP03	F01	01
0159	02	15-09-2014	Biosearch	MIP03	G01	01
0160	02	15-09-2014	Biosearch	MIP03	H01	01
0161	02	15-09-2014	Biosearch	MIP03	A02	01
0162	02	15-09-2014	Biosearch	MIP03	B02	01
0163	02	15-09-2014	Biosearch	MIP03	C02	01
0164	02	15-09-2014	Biosearch	MIP03	D02	01
0165	02	15-09-2014	Biosearch	MIP03	E02	01
0166	02	15-09-2014	Biosearch	MIP03	F02	01
0167	02	15-09-2014	Biosearch	MIP03	G02	01
0168	02	15-09-2014	Biosearch	MIP03	H02	01
0169	02	15-09-2014	Biosearch	MIP03	A03	01
0170	02	15-09-2014	Biosearch	MIP03	B03	01
0171	02	15-09-2014	Biosearch	MIP03	C03	01
0172	02	15-09-2014	Biosearch	MIP03	D03	01
0173	02	15-09-2014	Biosearch	MIP03	E03	01
0174	02	15-09-2014	Biosearch	MIP03	F03	01
0175	02	15-09-2014	Biosearch	MIP03	G03	01
0176	02	15-09-2014	Biosearch	MIP03	H03	01
0177	02	15-09-2014	Biosearch	MIP03	A04	01
0178	02	15-09-2014	Biosearch	MIP03	B04	01
0179	02	15-09-2014	Biosearch	MIP03	C04	01
0180	02	15-09-2014	Biosearch	MIP03	D04	01
0181	02	15-09-2014	Biosearch	MIP03	E04	01
0182	02	15-09-2014	Biosearch	MIP03	F04	01
0183	02	15-09-2014	Biosearch	MIP03	G04	01
0184	02	15-09-2014	Biosearch	MIP03	H04	01
0185	02	15-09-2014	Biosearch	MIP03	A05	01
0186	02	15-09-2014	Biosearch	MIP03	B05	01
0187	02	15-09-2014	Biosearch	MIP03	C05	01
0188	02	15-09-2014	Biosearch	MIP03	D05	01
0189	02	15-09-2014	Biosearch	MIP03	E05	01
0190	02	15-09-2014	Biosearch	MIP03	F05	01
0191	02	15-09-2014	Biosearch	MIP03	G05	01
0192	02	15-09-2014	Biosearch	MIP03	H05	01
0193	02	15-09-2014	Biosearch	MIP03	A06	01
0194	02	15-09-2014	Biosearch	MIP03	B06	01
0195	02	15-09-2014	Biosearch	MIP03	C06	01
0196	02	15-09-2014	Biosearch	MIP03	D06	01
0197	02	15-09-2014	Biosearch	MIP03	E06	01
0198	02	15-09-2014	Biosearch	MIP03	F06	01
0199	02	15-09-2014	Biosearch	MIP03	G06	01
0200	02	15-09-2014	Biosearch	MIP03	H06	01
0201	02	15-09-2014	Biosearch	MIP03	A07	01
0202	02	15-09-2014	Biosearch	MIP03	B07	01
0203	02	15-09-2014	Biosearch	MIP03	C07	01
0204	02	15-09-2014	Biosearch	MIP03	D07	01
0205	02	15-09-2014	Biosearch	MIP03	E07	01
0206	02	15-09-2014	Biosearch	MIP03	F07	01
0207	02	15-09-2014	Biosearch	MIP03	G07	01
0208	02	15-09-2014	Biosearch	MIP03	H07	01
0209	02	15-09-2014	Biosearch	MIP03	A08	01
0210	02	15-09-2014	Biosearch	MIP03	B08	01
0211	02	15-09-2014	Biosearch	MIP03	C08	01
0212	02	15-09-2014	Biosearch	MIP03	D08	01
0213	02	15-09-2014	Biosearch	MIP03	E08	01
0214	02	15-09-2014	Biosearch	MIP03	F08	01
0215	02	15-09-2014	Biosearch	MIP03	G08	01
0216	02	15-09-2014	Biosearch	MIP03	H08	01
0217	02	15-09-2014	Biosearch	MIP03	A09	01
0218	02	15-09-2014	Biosearch	MIP03	B09	01
0219	02	15-09-2014	Biosearch	MIP03	C09	01
0220	02	15-09-2014	Biosearch	MIP03	D09	01
0221	02	15-09-2014	Biosearch	MIP03	E09	01
0222	02	15-09-2014	Biosearch	MIP03	F09	01
0223	02	15-09-2014	Biosearch	MIP03	G09	01
0224	02	15-09-2014	Biosearch	MIP03	H09	01
0225	02	15-09-2014	Biosearch	MIP03	A10	01
0226	02	15-09-2014	Biosearch	MIP03	B10	01
0227	02	15-09-2014	Biosearch	MIP03	C10	01
0228	02	15-09-2014	Biosearch	MIP03	D10	01
0229	02	15-09-2014	Biosearch	MIP03	E10	01
0230	02	15-09-2014	Biosearch	MIP03	F10	01
0231	02	15-09-2014	Biosearch	MIP03	G10	01
0232	02	15-09-2014	Biosearch	MIP03	H10	01
0233	02	15-09-2014	Biosearch	MIP03	A11	01
0234	02	15-09-2014	Biosearch	MIP03	B11	01
0235	02	15-09-2014	Biosearch	MIP03	C11	01
0236	02	15-09-2014	Biosearch	MIP03	D11	01
0237	02	15-09-2014	Biosearch	MIP03	E11	01
0238	02	15-09-2014	Biosearch	MIP03	F11	01
0239	02	15-09-2014	Biosearch	MIP03	G11	01
0240	02	15-09-2014	Biosearch	MIP03	H11	01
0241	02	15-09-2014	Biosearch	MIP03	A12	01
0242	02	15-09-2014	Biosearch	MIP03	B12	01
0243	02	15-09-2014	Biosearch	MIP03	C12	01
0244	02	15-09-2014	Biosearch	MIP03	D12	01
0245	02	15-09-2014	Biosearch	MIP03	E12	01
0246	02	15-09-2014	Biosearch	MIP03	F12	01
0247	02	15-09-2014	Biosearch	MIP03	G12	01
0248	02	15-09-2014	Biosearch	MIP03	H12	01
0249	02	15-09-2014	Biosearch	MIP04	A01	01
0250	02	15-09-2014	Biosearch	MIP04	B01	01
0251	02	15-09-2014	Biosearch	MIP04	C01	01
0252	02	15-09-2014	Biosearch	MIP04	D01	01
0253	02	15-09-2014	Biosearch	MIP04	E01	01
0254	02	15-09-2014	Biosearch	MIP04	F01	01
0255	02	15-09-2014	Biosearch	MIP04	G01	01
0256	02	15-09-2014	Biosearch	MIP04	H01	01
0257	02	15-09-2014	Biosearch	MIP04	A02	01
0258	02	15-09-2014	Biosearch	MIP04	B02	01
0259	02	15-09-2014	Biosearch	MIP04	C02	01
0260	02	15-09-2014	Biosearch	MIP04	D02	01
0261	02	15-09-2014	Biosearch	MIP04	E02	01
0262	02	15-09-2014	Biosearch	MIP04	F02	01
0263	02	15-09-2014	Biosearch	MIP04	G02	01
0264	02	15-09-2014	Biosearch	MIP04	H02	01
0265	02	15-09-2014	Biosearch	MIP04	A03	01
0266	02	15-09-2014	Biosearch	MIP04	B03	01
0267	02	15-09-2014	Biosearch	MIP04	C03	01
0268	02	15-09-2014	Biosearch	MIP04	D03	01
0269	02	15-09-2014	Biosearch	MIP04	E03	01
0270	02	15-09-2014	Biosearch	MIP04	F03	01
0271	02	15-09-2014	Biosearch	MIP04	G03	01
0272	02	15-09-2014	Biosearch	MIP04	H03	01
0273	02	15-09-2014	Biosearch	MIP04	A04	01
0274	02	15-09-2014	Biosearch	MIP04	B04	01
0275	02	15-09-2014	Biosearch	MIP04	C04	01
0276	02	15-09-2014	Biosearch	MIP04	D04	01
0277	02	15-09-2014	Biosearch	MIP04	E04	01
0278	02	15-09-2014	Biosearch	MIP04	F04	01
0279	02	15-09-2014	Biosearch	MIP04	G04	01
0280	02	15-09-2014	Biosearch	MIP04	H04	01
0281	02	15-09-2014	Biosearch	MIP04	A05	01
0282	02	15-09-2014	Biosearch	MIP04	B05	01
0283	02	15-09-2014	Biosearch	MIP04	C05	01
0284	02	15-09-2014	Biosearch	MIP04	D05	01
0285	02	15-09-2014	Biosearch	MIP04	E05	01
0286	02	15-09-2014	Biosearch	MIP04	F05	01
0287	02	15-09-2014	Biosearch	MIP04	G05	01
0288	02	15-09-2014	Biosearch	MIP04	H05	01
0289	02	15-09-2014	Biosearch	MIP04	A06	01
0290	02	15-09-2014	Biosearch	MIP04	B06	01
0291	02	15-09-2014	Biosearch	MIP04	C06	01
0292	02	15-09-2014	Biosearch	MIP04	D06	01
0293	02	15-09-2014	Biosearch	MIP04	E06	01
0294	02	15-09-2014	Biosearch	MIP04	F06	01
0295	02	15-09-2014	Biosearch	MIP04	G06	01
0296	02	15-09-2014	Biosearch	MIP04	H06	01
0297	02	15-09-2014	Biosearch	MIP04	A07	01
0298	02	15-09-2014	Biosearch	MIP04	B07	01
0299	02	15-09-2014	Biosearch	MIP04	C07	01
0300	02	15-09-2014	Biosearch	MIP04	D07	01
0301	02	15-09-2014	Biosearch	MIP04	E07	01
0302	02	15-09-2014	Biosearch	MIP04	F07	01
0303	02	15-09-2014	Biosearch	MIP04	G07	01
0304	02	15-09-2014	Biosearch	MIP04	H07	01
0305	02	15-09-2014	Biosearch	MIP04	A08	01
0306	02	15-09-2014	Biosearch	MIP04	B08	01
0307	02	15-09-2014	Biosearch	MIP04	C08	01
0308	02	15-09-2014	Biosearch	MIP04	D08	01
0309	02	15-09-2014	Biosearch	MIP04	E08	01
0310	02	15-09-2014	Biosearch	MIP04	F08	01
0311	02	15-09-2014	Biosearch	MIP04	G08	01
0312	02	15-09-2014	Biosearch	MIP04	H08	01
0313	02	15-09-2014	Biosearch	MIP04	A09	01
0314	02	15-09-2014	Biosearch	MIP04	B09	01
0315	02	15-09-2014	Biosearch	MIP04	C09	01
0316	02	15-09-2014	Biosearch	MIP04	D09	01
0317	02	15-09-2014	Biosearch	MIP04	E09	01
0318	02	15-09-2014	Biosearch	MIP04	F09	01
0319	02	15-09-2014	Biosearch	MIP04	G09	01
